epoch,stage,total,bce,nc,q,anchor,consistency,consistency_weight,csr_alpha,csr_gate,p3_context,p3_current,p3_fine,p3_residual_ratio,p3_route_entropy,p3_route_spatial_std,p4_context,p4_current,p4_fine,p4_residual_ratio,p4_route_entropy,p4_route_spatial_std,pixel_reliability,q_max,q_min,sample_reliability,scale_loss
79,C3_anneal,0.010216,0.010216,0.000000,0.000000,0.010216,0.000000,0.000000,0.205494,0.205494,0.432862,0.320045,0.247093,0.261727,0.839621,0.110964,0.377023,0.290056,0.332921,0.205553,0.815215,0.115596,0.000000,0.000000,0.000000,0.000000,0.000000
80,C3_anneal,0.009784,0.009784,0.000000,0.000000,0.009784,0.000000,0.000000,0.210199,0.210199,0.434613,0.319519,0.245868,0.265828,0.839927,0.110337,0.374291,0.293798,0.331911,0.210270,0.816333,0.116766,0.000000,0.000000,0.000000,0.000000,0.000000
81,C3_anneal,0.009552,0.009552,0.000000,0.000000,0.009552,0.000000,0.000000,0.214731,0.214731,0.434979,0.319369,0.245653,0.270482,0.840461,0.110199,0.374880,0.292841,0.332280,0.214752,0.817300,0.115044,0.000000,0.000000,0.000000,0.000000,0.000000
82,C3_anneal,0.009526,0.009526,0.000000,0.000000,0.009526,0.000000,0.000000,0.219071,0.219071,0.434159,0.319887,0.245954,0.273350,0.840914,0.110975,0.373971,0.292126,0.333903,0.219085,0.820147,0.115657,0.000000,0.000000,0.000000,0.000000,0.000000
83,C3_anneal,0.010057,0.010057,0.000000,0.000000,0.010057,0.000000,0.000000,0.223195,0.223195,0.434238,0.319248,0.246514,0.279340,0.841330,0.110810,0.376818,0.292224,0.330958,0.223395,0.817530,0.116104,0.000000,0.000000,0.000000,0.000000,0.000000
84,C3_anneal,0.009501,0.009501,0.000000,0.000000,0.009501,0.000000,0.000000,0.227085,0.227085,0.438292,0.318973,0.242735,0.288506,0.839463,0.112534,0.379532,0.292497,0.327971,0.227160,0.816408,0.116824,0.000000,0.000000,0.000000,0.000000,0.000000
85,C3_anneal,0.009222,0.009222,0.000000,0.000000,0.009222,0.000000,0.000000,0.230721,0.230721,0.436280,0.319640,0.244080,0.291172,0.839182,0.112542,0.379274,0.291615,0.329111,0.230731,0.817052,0.118740,0.000000,0.000000,0.000000,0.000000,0.000000
86,C3_anneal,0.009382,0.009382,0.000000,0.000000,0.009382,0.000000,0.000000,0.234086,0.234086,0.435064,0.319248,0.245688,0.294735,0.840823,0.112688,0.377896,0.292642,0.329462,0.234097,0.815793,0.119411,0.000000,0.000000,0.000000,0.000000,0.000000
87,C3_anneal,0.009487,0.009487,0.000000,0.000000,0.009487,0.000000,0.000000,0.237162,0.237162,0.435226,0.318589,0.246184,0.294747,0.839708,0.113177,0.376676,0.292759,0.330565,0.237168,0.819568,0.116761,0.000000,0.000000,0.000000,0.000000,0.000000
88,C3_anneal,0.009161,0.009161,0.000000,0.000000,0.009161,0.000000,0.000000,0.239936,0.239936,0.434825,0.318269,0.246905,0.298302,0.837984,0.113353,0.375950,0.293440,0.330610,0.239942,0.818987,0.115015,0.000000,0.000000,0.000000,0.000000,0.000000
